名称,地址,细节,单价(元/m^2)
五龙汤花园 ,经开北,2室2厅 | 99.29平米 | 南 北 | 简装 | 低楼层(共27层)  | 塔楼,"10,978元/平"
御锦城繁花里 ,浐河西路,2室1厅 | 82.67平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,"13,403元/平"
新东尚 ,安装四处,2室2厅 | 94.28平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,"12,304元/平"
万家灯火 ,陕西大会堂,2室2厅 | 86.88平米 | 南 | 精装 | 26层  | 板塔结合,"17,151元/平"
西安木材厂家属院 ,城东,2室2厅 | 66.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"8,685元/平"
枫林华府 ,高新六路,3室2厅 | 128.04平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,"17,964元/平"
龙腾华府 ,安装四处,2室2厅 | 80.21平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,"16,831元/平"
中贸广场 ,南稍门,3室1厅 | 99.79平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,"15,533元/平"
电力设计院家属楼 ,城东,3室2厅 | 91.82平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,"7,842元/平"
天朗蔚蓝东庭 ,广泰门,3室2厅 | 114.79平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,"17,685元/平"
瑞景华庭 ,城北,2室2厅 | 98.34平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,"10,169元/平"
公园大观 ,城西,2室2厅 | 122.07平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,"10,650元/平"
工商行政管理局干部新村 ,长安,3室2厅 | 87.61平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"10,958元/平"
长安区教师小区 ,长安,2室1厅 | 76.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"11,185元/平"
金裕青青家园 ,浐河西路,3室2厅 | 117.99平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,"9,239元/平"
融侨馨苑 ,城南,3室1厅 | 87.78平米 | 西南 | 精装 | 高楼层(共33层)  | 板楼,"20,051元/平"
枫韵蓝湾 ,高新六路,3室2厅 | 136.98平米 | 南 北 | 简装 | 12层  | 板塔结合,"14,236元/平"
